 -8.5673e-003 6.0000e-003 1.0000e+000 0.0000e+000 
 -7.2297e-003 6.0000e-003 1.0000e+000 0.0000e+000 
 -5.9873e-003 6.0000e-003 1.0000e+000 0.0000e+000 
 -4.8400e-003 6.0000e-003 1.0000e+000 0.0000e+000 
 -3.7878e-003 6.0000e-003 1.0000e+000 0.0000e+000 
 -2.8309e-003 6.0000e-003 1.0000e+000 0.0000e+000 
 -1.9691e-003 6.0000e-003 1.0000e+000 0.0000e+000 
 -1.2024e-003 6.0000e-003 1.0000e+000 0.0000e+000 
 -5.3088e-004 6.0000e-003 1.0000e+000 0.0000e+000 
 4.5485e-005 6.0000e-003 1.0000e+000 0.0000e+000 
 5.2669e-004 6.0000e-003 1.0000e+000 0.0000e+000 
 9.1275e-004 6.0000e-003 1.0000e+000 0.0000e+000 
 1.2037e-003 6.0000e-003 1.0000e+000 0.0000e+000 
 1.3994e-003 6.0000e-003 1.0000e+000 0.0000e+000 
 1.6040e-003 6.0109e-003 9.7815e-001 2.0791e-001 
 1.7034e-003 6.0432e-003 9.1355e-001 4.0674e-001 
 1.7939e-003 6.0955e-003 8.0902e-001 5.8779e-001 
 1.8716e-003 6.1654e-003 6.6913e-001 7.4314e-001 
 1.9330e-003 6.2500e-003 5.0000e-001 8.6603e-001 
 1.9755e-003 6.3455e-003 3.0902e-001 9.5106e-001 
 1.9973e-003 6.4477e-003 1.0453e-001 9.9452e-001 
 2.0078e-003 6.5478e-003 1.0453e-001 9.9452e-001 
 2.0275e-003 6.7350e-003 1.0453e-001 9.9452e-001 
 2.0563e-003 7.0093e-003 1.0453e-001 9.9452e-001 
 2.0943e-003 7.3708e-003 1.0453e-001 9.9452e-001 
 2.1414e-003 7.8194e-003 1.0453e-001 9.9452e-001 
 2.1977e-003 8.3552e-003 1.0453e-001 9.9452e-001 
 2.2632e-003 8.9781e-003 1.0453e-001 9.9452e-001 
 2.3378e-003 9.6881e-003 1.0453e-001 9.9452e-001 
 2.4216e-003 1.0485e-002 1.0453e-001 9.9452e-001 
 2.5146e-003 1.1370e-002 1.0453e-001 9.9452e-001 
 2.6167e-003 1.2341e-002 1.0453e-001 9.9452e-001 
 2.7279e-003 1.3400e-002 1.0453e-001 9.9452e-001 
 2.8484e-003 1.4546e-002 1.0453e-001 9.9452e-001 
 2.9780e-003 1.5778e-002 1.0453e-001 9.9452e-001 
 3.1167e-003 1.7098e-002 1.0453e-001 9.9452e-001 
 3.2646e-003 1.8506e-002 1.0453e-001 9.9452e-001 
 3.4217e-003 2.0000e-002 1.0453e-001 9.9452e-001 
